% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
% function evaluation | noise-free fitness - Fopt (1.321800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.160222846e+03 +1.160222846e+03 +1.292402846e+03 +1.292402846e+03 +2.3581e+00 +4.7621e+00 -9.0479e-01 +1.5225e+00 -6.6882e-01 +4.6409e+00 -2.2269e+00 +3.6791e+00 -4.0607e+00 +3.0045e+00 +1.3311e+00 +2.7274e+00 -1.2300e+00 -3.6910e+00 -1.4554e+00 -2.1188e+00 -3.5244e-01 +1.0582e+00 -1.5642e+00 +3.6663e+00
15 +7.891322546e+02 +7.891322546e+02 +9.213122546e+02 +9.213122546e+02 -2.8814e-01 -4.4727e+00 +3.4222e+00 -8.8592e-01 +9.9196e-02 -9.8471e-01 -4.9706e+00 +2.1603e+00 -3.4114e+00 -4.3983e+00 -2.9257e+00 +1.4062e+00 -2.4299e+00 +4.0825e+00 -1.8505e+00 +4.4549e-01 +1.4232e+00 +6.2986e-01 -1.9696e+00 -3.3288e+00
143 +4.541541880e+02 +4.541541880e+02 +5.863341880e+02 +5.863341880e+02 +1.2802e+00 +1.5716e+00 +1.6444e-01 +0.0000e+00 +1.6930e+00 +1.5346e+00 -2.1701e+00 +1.3893e-01 -2.2939e+00 +1.1100e+00 +2.7995e+00 +1.1948e+00 -7.5147e-01 +1.4643e+00 -4.1716e+00 +0.0000e+00 -5.8209e-01 +1.2006e+00 -1.4306e+00 +0.0000e+00
358 +3.610089850e+02 +3.610089850e+02 +4.931889850e+02 +4.931889850e+02 +3.2697e+00 +5.0000e+00 +8.1101e-01 -2.0634e+00 -8.4202e-01 +1.7368e-02 -3.8119e+00 -5.1615e-01 +0.0000e+00 +2.8709e-01 +1.4179e-01 +2.8239e+00 -7.4819e-01 +2.7320e+00 -5.0000e+00 +4.1242e+00 +2.2680e+00 +3.8958e+00 -5.7362e-01 -6.8298e-01
789 +2.438581514e+02 +2.438581514e+02 +3.760381514e+02 +3.760381514e+02 +1.4108e-01 +1.7533e+00 +5.0000e+00 +3.8669e-02 -2.4137e-01 -9.1269e-01 -4.9445e+00 +1.2053e-02 +8.3110e-01 +1.2454e+00 +6.9283e-01 +2.9624e+00 -2.8370e-01 +2.0287e+00 -4.7819e+00 +1.5842e+00 +1.6417e+00 +4.4844e+00 -3.1566e-01 +1.3881e+00
3250 +1.518804173e+02 +1.518804173e+02 +2.840604173e+02 +2.840604173e+02 -3.5909e+00 +1.4363e+00 +3.4804e+00 -3.3949e-01 +1.8194e-01 -1.8190e+00 -4.4201e+00 -7.2493e-01 -2.9458e-01 -6.8286e-01 +1.6919e+00 +3.0159e+00 -1.3935e+00 +2.7839e+00 -4.7939e+00 +1.9255e+00 +2.5675e+00 +4.7177e+00 -1.1082e+00 +1.4805e+00
6353 +9.495571590e+01 +9.495571590e+01 +2.271357159e+02 +2.271357159e+02 -3.7770e+00 +1.5203e+00 +3.4982e+00 -2.3694e-01 -9.7648e-01 -8.9884e-01 -4.3919e+00 -6.9574e-01 -1.1868e-01 -7.5898e-01 +1.2860e+00 +3.0302e+00 -1.9547e+00 +3.3369e+00 -4.7635e+00 +2.3580e+00 +2.4770e+00 +4.1732e+00 -6.5878e-01 +1.3987e+00
8765 +6.299496007e+01 +6.299496007e+01 +1.951749601e+02 +1.951749601e+02 -3.7849e+00 +1.5406e+00 +3.5110e+00 -2.8608e-01 -1.5970e+00 -2.4885e-01 -4.3332e+00 -7.0000e-01 -2.6950e-01 -2.1431e-01 +1.3325e+00 +3.0321e+00 -1.9338e+00 +3.3283e+00 -4.7699e+00 +2.2994e+00 +2.5171e+00 +3.8964e+00 -6.4960e-01 +1.4659e+00
12811 +3.977557332e+01 +3.977557332e+01 +1.719555733e+02 +1.719555733e+02 -3.7782e+00 +1.4689e+00 +3.4818e+00 -1.6975e-01 -1.6779e+00 -2.5062e-01 -2.2583e+00 -6.0218e-01 -2.4231e-01 -2.1220e-01 +1.3424e+00 +3.0340e+00 -1.9637e+00 +3.2864e+00 -4.7724e+00 +2.3597e+00 +2.5409e+00 +3.8667e+00 -6.3179e-01 +1.4203e+00
18863 +2.482752831e+01 +2.482752831e+01 +1.570075283e+02 +1.570075283e+02 -3.7475e+00 +1.4671e+00 +3.4769e+00 -1.9479e+00 -1.6467e+00 -2.7540e-01 -2.2542e+00 -6.1258e-01 +2.6930e-01 -1.4815e-01 +1.3434e+00 +3.0617e+00 -1.9608e+00 +3.2781e+00 -3.9944e+00 +2.3523e+00 +2.5361e+00 +3.8720e+00 -6.2262e-01 +1.4187e+00
32886 +1.555576211e+01 +1.555576211e+01 +1.477357621e+02 +1.477357621e+02 -3.7683e+00 +1.4815e+00 +3.4598e+00 -1.9644e+00 -1.6278e+00 -2.2951e-01 -2.2613e+00 -6.0560e-01 +2.6751e-01 -2.1279e-01 +1.3244e+00 +3.0331e+00 -9.8545e-01 +3.2911e+00 -3.9984e+00 +2.3508e+00 +2.5326e+00 +3.8725e+00 -9.7599e-01 +1.4272e+00
% function evaluation | noise-free fitness - Fopt (-5.847300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.678118061e+03 +2.678118061e+03 +2.093388061e+03 +2.093388061e+03 -2.3273e+00 +1.8260e-01 -1.7544e-02 -1.4561e+00 -4.0288e+00 -2.5386e+00 +4.9560e+00 +3.4462e+00 +1.0252e+00 -6.4733e-01 -2.9114e+00 +4.1339e-01 -3.8615e+00 -3.3542e+00 -2.2700e+00 -2.3372e+00 -2.5775e+00 -3.2677e+00 +3.4870e+00 +1.7421e+00
5 +8.754711614e+02 +8.754711614e+02 +2.907411614e+02 +2.907411614e+02 +2.0374e+00 -2.3238e+00 -2.0682e-01 +3.6174e+00 -4.0320e+00 -3.3852e+00 -9.8660e-01 -2.8036e+00 +9.7167e-01 -2.8465e+00 +1.3294e+00 -5.9962e-01 -4.7854e+00 +5.0339e-01 -2.9046e+00 -1.1386e+00 +1.4571e-01 +3.2040e+00 -1.4994e+00 -1.9844e+00
111 +5.744996597e+02 +5.744996597e+02 -1.023034031e+01 -1.023034031e+01 -3.5613e+00 +1.9056e+00 +5.0000e+00 +1.0452e-01 -1.5904e+00 -4.9353e+00 -9.1683e-01 +6.8986e-01 -1.9683e+00 -4.5759e+00 +2.2286e+00 -2.3610e+00 +0.0000e+00 +1.6732e-01 -4.1355e-01 -1.1456e+00 -2.2475e+00 +3.5387e+00 -1.9981e+00 -2.7707e+00
217 +3.699926346e+02 +3.699926346e+02 -2.147373654e+02 -2.147373654e+02 -4.1192e-01 +0.0000e+00 +7.1289e-01 -4.2364e+00 -3.8338e+00 -4.1368e+00 -3.1187e-01 -7.0410e-01 -9.9132e-01 -2.5884e+00 +2.5136e+00 +5.9587e-02 -2.0285e+00 +2.6627e+00 +7.0041e-01 -1.8628e+00 -2.0112e+00 +4.1073e+00 +4.6756e-01 -2.4002e+00
793 +2.505992220e+02 +2.505992220e+02 -3.341307780e+02 -3.341307780e+02 -4.7731e+00 -3.8036e+00 +1.2409e+00 -4.9807e+00 -3.7705e+00 -3.3334e+00 +9.8515e-02 +1.3436e+00 -3.3130e-01 -3.8920e+00 +1.3624e+00 -2.1274e+00 -2.0204e+00 +3.5863e+00 +2.7558e+00 -1.0873e+00 -1.3366e+00 +4.9652e+00 -3.5711e-01 -3.4819e+00
