% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
107 +1.139155393e+03 +1.139155393e+03 +1.060435393e+03 +1.060435393e+03 +5.0000e+00 +2.6547e+00 -3.8662e+00 +1.1641e+00 -2.6334e+00 +3.5557e+00 -2.4283e+00 -1.0982e+00 +4.8920e+00 -4.6507e+00 -4.2123e+00 +1.3165e+00 +3.0495e+00 -1.5749e-01 +5.0000e+00 -1.9262e+00 +5.0430e-01 +5.0000e+00 +4.4465e+00 -3.7096e+00
154 +9.678817418e+02 +9.678817418e+02 +8.891617418e+02 +8.891617418e+02 +3.0984e+00 +9.3316e-01 -2.1254e+00 -1.5241e-01 +1.0883e+00 -9.7123e-01 -2.8283e+00 +0.0000e+00 +4.6727e+00 -5.0000e+00 -5.0000e+00 +9.9258e-01 +4.2975e+00 -3.6083e-01 +5.0000e+00 -1.4244e+00 -6.6149e-01 +5.0000e+00 -7.5065e-01 -5.0000e+00
435 +2.799328068e+02 +2.799328068e+02 +2.012128068e+02 +2.012128068e+02 +3.2111e+00 -2.2336e+00 -1.4884e+00 -8.3657e-01 +3.1569e-01 -5.5127e-01 -2.1985e+00 +3.2033e+00 +4.7017e+00 -3.5874e+00 -5.0000e+00 +2.3874e+00 +3.7055e+00 -2.2052e+00 +5.0000e+00 -3.3822e+00 -1.5826e+00 +5.0000e+00 +2.6184e+00 -4.6081e+00
635 +2.381166555e+02 +2.381166555e+02 +1.593966555e+02 +1.593966555e+02 +3.2078e+00 -2.8240e+00 -1.2922e+00 -8.0941e-01 +2.4822e+00 -9.0292e-01 -4.6481e-01 +4.3615e+00 +4.7146e+00 -4.0522e+00 -5.0000e+00 +2.5487e+00 +4.3157e+00 -2.6507e+00 +5.0000e+00 -2.9491e+00 -1.6369e+00 +5.0000e+00 +2.0861e+00 -4.7169e+00
2631 +1.567052855e+02 +1.567052855e+02 +7.798528551e+01 +7.798528551e+01 +2.9710e+00 -1.0114e+00 -6.5242e-01 -5.3107e-01 -4.3706e+00 +1.1874e+00 +6.5677e-01 +5.0000e+00 +4.5163e+00 -4.3658e+00 -4.0836e+00 +3.0687e+00 +5.0000e+00 -3.8856e+00 +2.9735e+00 -3.2613e+00 -1.4122e+00 +4.9843e+00 +2.5974e+00 -4.6380e+00
7813 +9.066354191e+01 +9.066354191e+01 +1.194354191e+01 +1.194354191e+01 +1.2147e+00 -2.9143e+00 +2.4915e-02 +1.1356e+00 -2.3446e+00 -1.9834e+00 +1.0968e+00 +3.6462e+00 +4.2097e+00 -1.3039e+00 -5.0000e+00 +3.8422e+00 +3.7065e+00 -9.6723e-01 +3.5494e+00 -3.7196e+00 -8.8560e-02 +4.9848e+00 +3.4555e+00 -3.4724e+00
13536 +5.831595395e+01 +5.831595395e+01 -2.040404605e+01 -2.040404605e+01 +2.7155e+00 -1.3860e+00 -1.1869e+00 -4.8422e-01 -2.5499e+00 -3.7620e+00 +0.0000e+00 +4.0204e+00 +3.7085e+00 -3.0879e+00 -3.8302e+00 +2.5683e+00 +3.5404e+00 -1.4426e+00 +8.8206e-01 -1.2204e+00 -1.6331e+00 +4.9945e+00 +3.8673e+00 -2.1602e+00
30363 +3.791355127e+01 +3.791355127e+01 -4.080644873e+01 -4.080644873e+01 +3.3983e+00 -1.9785e+00 -2.3369e+00 +3.0333e-01 -1.7758e+00 -3.7962e+00 -3.8151e-01 +3.7240e+00 +4.1209e+00 -3.0472e+00 -3.5682e+00 +3.9384e+00 +3.0725e+00 -1.5443e+00 -1.4179e+00 -2.4611e+00 -1.7880e+00 +4.9967e+00 +3.5109e+00 -1.8385e+00
% function evaluation | noise-free fitness - Fopt (-5.984300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.839282073e+05 +2.839282073e+05 +2.833297773e+05 +2.833297773e+05 -1.7894e+00 -3.1927e+00 +4.1858e+00 -2.9464e+00 -2.1244e+00 +4.0554e+00 -2.7318e+00 -4.7237e+00 +6.7643e-01 +2.1899e-01 +1.9962e+00 -2.5676e+00 -4.0987e+00 -3.6326e+00 +3.0963e+00 -2.8030e+00 +6.7740e-01 +4.4206e+00 -4.0056e+00 +1.6236e+00
4 +5.347740902e+04 +5.347740902e+04 +5.287897902e+04 +5.287897902e+04 -2.8581e+00 +2.3711e+00 +3.3423e+00 +4.9923e+00 +4.6467e+00 -3.1328e+00 +2.8713e+00 -1.0030e+00 +3.3415e+00 +3.5325e+00 +1.1264e+00 +2.8075e+00 -3.1006e+00 +5.7388e-01 -4.6763e+00 -1.6345e+00 -1.0374e-01 +2.0498e+00 -1.9197e+00 +3.2648e+00
44 +5.766164870e+02 +5.766164870e+02 -2.181351303e+01 -2.181351303e+01 -2.8031e+00 -1.4975e+00 +5.0000e+00 +5.0000e+00 +4.5060e+00 -5.0000e+00 +3.1320e+00 +3.4138e-01 +5.0000e+00 -2.9987e-01 +2.7820e-01 +8.8794e-01 -5.0000e+00 +1.0375e+00 -5.0000e+00 -4.7069e+00 -3.7589e+00 -3.5148e-01 -4.1852e+00 +3.1444e+00
750 +2.779267961e+02 +2.779267961e+02 -3.205032039e+02 -3.205032039e+02 -4.1299e+00 -1.0255e+00 -4.3922e+00 -4.2357e+00 +7.2911e-01 -2.3645e+00 +2.4481e-01 +3.1741e+00 +1.3565e+00 +1.8250e-01 +4.2206e+00 +1.0096e+00 -5.0000e+00 -3.1348e+00 +4.9357e+00 +3.4768e+00 +2.0560e+00 +1.3809e+00 +3.1706e+00 +2.3605e+00
3819 +2.394316067e+02 +2.394316067e+02 -3.589983933e+02 -3.589983933e+02 -4.1418e+00 -7.0385e-01 -4.2889e+00 -4.8571e+00 +1.1323e+00 -2.2367e+00 -1.5007e+00 +3.3074e+00 +2.6373e+00 -1.7462e-01 +3.9610e+00 -4.2855e-02 -4.8915e+00 -3.1290e+00 +2.9280e+00 +2.4652e+00 +2.0463e+00 -4.6834e-01 +3.3508e+00 +1.8832e+00
11302 +1.508291272e+02 +1.508291272e+02 -4.476008728e+02 -4.476008728e+02 -3.7079e+00 -1.6570e+00 -2.6199e+00 -2.4220e+00 +5.3476e-01 -2.2631e+00 -2.9465e+00 +5.0000e+00 +3.2611e+00 -6.7643e-01 +3.7578e+00 -3.8222e+00 -2.7957e+00 +2.4629e-01 -5.0000e+00 +0.0000e+00 +2.8768e+00 +9.4373e-01 +3.1128e+00 -1.5825e+00
26289 +9.797525564e+01 +9.797525564e+01 -5.004547444e+02 -5.004547444e+02 -3.8803e+00 -1.6593e-02 -3.6046e+00 -4.9556e+00 -2.1869e-01 -2.7685e+00 -2.3925e+00 +3.6145e+00 +3.7652e+00 +2.4435e-01 +3.3937e+00 +7.1692e-01 -3.1590e+00 +1.7547e+00 -2.1747e+00 -3.3674e+00 +1.9545e+00 +3.1581e+00 +2.4579e+00 -4.7849e+00
