% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
2205 +1.439196025e+02 +1.439196025e+02 +2.760996025e+02 +2.760996025e+02 +2.8995e+00 -1.5814e+00 +1.8105e+00 -3.4634e+00 +1.6692e+00 -1.1177e+00 +1.3984e-01 +1.3690e+00 +1.6520e-01 -1.1617e+00 +7.3953e-01 +2.5744e+00 -5.1538e-01 +3.3122e+00 +3.5728e+00 +2.2618e+00 +9.1248e-01 +3.4946e+00 +2.2080e-01 +7.4606e-01
3966 +9.997594143e+01 +9.997594143e+01 +2.321559414e+02 +2.321559414e+02 +2.9343e+00 -1.4214e+00 +1.7773e+00 -2.0434e+00 +1.6912e+00 -2.2763e-01 +4.9130e-02 +1.3703e+00 +2.4807e-01 -1.2345e+00 +7.8637e-01 +2.5524e+00 -3.1200e-01 +3.3003e+00 +3.5747e+00 +2.2661e+00 +8.5162e-01 +3.4905e+00 +1.3113e-01 +7.4024e-01
% function evaluation | noise-free fitness - Fopt (-5.847300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.758001195e+03 +4.758001195e+03 +4.173271195e+03 +4.173271195e+03 -2.4838e+00 +3.4940e-02 +3.8145e+00 +3.9978e+00 +4.9258e+00 -2.5560e+00 +3.2816e+00 +3.6013e+00 +1.3860e+00 -2.0154e-02 -2.3996e+00 -3.9102e+00 -2.8809e+00 +2.2547e+00 +2.9779e+00 -3.4907e+00 +3.4226e+00 -3.2437e+00 -2.5399e+00 -1.8941e+00
4 +1.410568852e+03 +1.410568852e+03 +8.258388521e+02 +8.258388521e+02 -1.6837e+00 +3.6972e+00 +9.3611e-01 +3.9166e+00 +1.3746e+00 -3.3756e+00 +4.0912e+00 +3.3313e+00 +1.8269e+00 -3.7724e+00 -4.6676e+00 -3.4711e+00 +6.9882e-01 +4.2880e+00 -3.8107e+00 +3.5578e+00 -9.6976e-01 +4.8935e+00 -1.9693e+00 -1.3063e+00
25 +6.064788394e+02 +6.064788394e+02 +2.174883937e+01 +2.174883937e+01 +1.9803e+00 -6.9605e-01 +2.7987e+00 -2.6802e+00 -2.0840e+00 -1.9080e+00 -4.5718e-02 -1.9605e+00 +6.8019e-02 -1.9176e+00 +2.3772e-01 -2.4695e+00 -2.4277e+00 +2.7776e+00 -4.5261e-01 +3.1202e+00 +1.3041e+00 +2.0657e+00 -7.4097e-01 -3.3163e+00
138 +3.962482370e+02 +3.962482370e+02 -1.884817630e+02 -1.884817630e+02 +1.9637e+00 -1.3764e-01 +4.5062e-01 -2.5081e+00 -2.1141e+00 -2.2364e+00 +2.5922e+00 -1.7505e+00 -2.1355e+00 -7.1932e-01 +3.3712e-01 -1.4250e+00 -1.3811e+00 +4.1373e+00 -4.7391e-02 +2.2298e+00 +2.5035e+00 +2.3735e+00 -1.0574e+00 -3.7995e+00
2000 +2.093076945e+02 +2.093076945e+02 -3.754223055e+02 -3.754223055e+02 +1.6923e+00 -3.8776e+00 -1.3113e+00 -4.8892e+00 -1.8259e+00 -2.6656e+00 +3.1494e+00 -4.7338e-01 +1.3613e-01 -4.9181e-01 -5.9840e-01 -1.6536e-01 -8.0490e-01 +3.4808e+00 +9.8133e-01 -1.2981e+00 +1.8016e+00 +3.0596e+00 +1.2856e-01 -4.1070e+00
3098 +1.470957925e+02 +1.470957925e+02 -4.376342075e+02 -4.376342075e+02 +2.5911e+00 -4.4021e+00 +7.8461e-01 -4.5864e+00 -1.5130e+00 -4.2648e+00 +3.0889e+00 -5.0052e-01 +4.3112e-01 -7.0008e-02 +1.8815e-01 -2.7464e-01 -1.6295e-02 +3.3822e+00 +2.1944e+00 +2.5164e-01 +2.1577e+00 +3.6733e+00 +2.0801e-01 -3.5102e+00
3998 +9.553921408e+01 +9.553921408e+01 -4.891907859e+02 -4.891907859e+02 +2.6105e+00 -3.9683e+00 +8.0381e-01 -4.6748e+00 -1.6101e+00 -4.1838e+00 +3.1451e+00 +9.6261e-01 +4.1387e-01 -1.3005e-01 +3.4035e-01 -2.0814e-01 -1.5684e-02 +3.3685e+00 +2.1418e+00 +2.9971e-01 +2.1951e+00 +3.6889e+00 -7.2666e-02 -3.5148e+00
