% function evaluation | noise-free fitness - Fopt (7.948000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
24682 +1.294158380e-08 +1.294158380e-08 +7.948000001e+01 +7.948000001e+01 +2.5280e-01 -1.1568e+00 -7.2400e-01 +1.9264e+00 -2.6808e+00 +4.3913e-01 -1.1682e-01 +1.1996e-01 -1.6376e+00 -3.0512e+00 -3.8536e+00 +2.0160e+00 +1.0864e+00 -8.6383e-02 +3.6472e+00 +2.9088e+00 -1.2480e-01 -3.9280e+00 +2.3624e+00 +1.3584e+00
24866 +9.012453006e-09 +9.012453006e-09 +7.948000001e+01 +7.948000001e+01 +2.5281e-01 -1.1567e+00 -7.2399e-01 +1.9264e+00 -2.6808e+00 +4.3916e-01 -1.1683e-01 +1.1999e-01 -1.6376e+00 -3.0512e+00 -3.8536e+00 +2.0160e+00 +1.0864e+00 -8.6381e-02 +3.6472e+00 +2.9088e+00 -1.2481e-01 -3.9280e+00 +2.3624e+00 +1.3584e+00
% function evaluation | noise-free fitness - Fopt (3.944800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.450503647e+02 +3.450503647e+02 +7.395303647e+02 +7.395303647e+02 -1.0311e+00 -1.8884e+00 +2.8755e+00 -3.8827e+00 +3.0974e+00 +2.9961e+00 -1.6520e+00 +3.9011e+00 +3.4458e+00 +4.1062e+00 +3.3398e+00 -2.3950e+00 +2.9889e+00 +5.5128e-01 -3.1187e+00 +3.4998e-01 +1.7862e+00 -3.7634e+00 +1.9024e-01 +3.2212e-02
4 +2.466892842e+02 +2.466892842e+02 +6.411692842e+02 +6.411692842e+02 +2.5738e+00 -3.9289e+00 +2.0222e+00 +3.9912e+00 +4.4839e+00 -9.0314e-01 -1.1340e+00 -2.3680e+00 -2.8052e+00 -1.9817e+00 -4.6451e+00 -1.7863e+00 -5.1539e-01 -1.1320e+00 -1.5901e+00 +2.2289e+00 -4.7446e+00 -4.4115e+00 -3.1340e+00 +4.8292e+00
49 +1.118328790e+02 +1.118328790e+02 +5.063128790e+02 +5.063128790e+02 -2.3506e+00 -2.7404e+00 +1.3578e+00 +4.6720e+00 +1.9700e-01 -4.4924e+00 -1.2287e+00 -5.6344e-01 +1.9174e+00 -4.9873e+00 +1.7988e+00 +5.0000e+00 +1.8329e+00 +5.0742e-01 -3.3078e+00 +9.2038e-01 -1.6098e+00 -5.0000e+00 -1.6074e+00 +2.4363e+00
131 +8.844127544e+01 +8.844127544e+01 +4.829212754e+02 +4.829212754e+02 -4.0731e+00 -2.2974e+00 -6.7931e-01 +5.0000e+00 +6.9020e-01 +0.0000e+00 +7.0515e-01 -1.5711e+00 +2.6399e+00 -4.8751e+00 +4.3868e+00 +4.9202e+00 +3.7333e+00 +3.5587e+00 -4.3003e+00 +2.8593e+00 -4.3225e+00 -2.9623e-01 -4.1418e+00 +3.8496e-01
193 +5.160572748e+01 +5.160572748e+01 +4.460857275e+02 +4.460857275e+02 -4.7188e+00 -5.0000e+00 -1.5943e+00 +3.6411e+00 +1.6724e+00 -1.6299e+00 +2.7004e+00 -2.0171e-03 +0.0000e+00 -3.9789e+00 +2.8177e+00 +3.3707e+00 +1.3725e+00 +4.4138e+00 -7.7973e-02 +1.3791e+00 -2.2272e+00 -3.2405e+00 -4.7708e-01 -2.0550e+00
277 +3.766929871e+01 +3.766929871e+01 +4.321492987e+02 +4.321492987e+02 -3.8543e+00 -5.0000e+00 -2.6038e+00 +3.1793e+00 -1.2290e+00 -3.2050e+00 +3.9890e+00 -2.8108e+00 -3.3043e-01 -3.0101e+00 +2.3992e+00 +2.4353e+00 +1.1868e-01 +3.8399e+00 -1.3455e+00 +1.8584e+00 -3.4299e+00 -4.1760e+00 -1.2113e+00 +1.3076e+00
361 +2.071936732e+01 +2.071936732e+01 +4.151993673e+02 +4.151993673e+02 -3.5513e+00 -4.5238e+00 -3.0115e+00 +4.0853e+00 +1.2606e+00 -3.4583e+00 +4.0804e+00 -8.7666e-01 -8.2856e-01 -3.2626e+00 +1.1747e+00 +3.2464e+00 +2.4751e+00 +4.8724e+00 -1.8227e+00 +2.6452e+00 -4.3702e+00 -7.4220e-01 -2.3890e-02 +2.9982e+00
726 +1.498599993e+01 +1.498599993e+01 +4.094659999e+02 +4.094659999e+02 -2.5763e+00 -4.1508e+00 -3.6587e+00 +2.9488e+00 +2.9416e-01 -1.8862e+00 +4.3904e+00 -6.8355e-01 +7.9962e-02 -3.3082e+00 +9.4318e-01 +1.8918e+00 +2.3014e+00 +4.6477e+00 -2.5635e+00 +2.1202e+00 -3.3139e+00 -1.9849e+00 -3.5137e-01 +2.5939e+00
978 +9.703586848e+00 +9.703586848e+00 +4.041835868e+02 +4.041835868e+02 -2.6766e+00 -3.6489e+00 -3.5488e+00 +3.3493e+00 +1.1481e+00 -3.8497e+00 +3.9247e+00 -5.8118e-01 +1.2165e-01 -3.0514e+00 +1.2220e+00 +1.5882e+00 +2.0824e+00 +4.6197e+00 -2.5811e+00 +2.3318e+00 -3.8602e+00 -1.4154e+00 -1.1217e-01 +9.2130e-01
