% function evaluation | noise-free fitness - Fopt (7.135000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.672758633e+01 +7.672758633e+01 -9.006241367e+01 -9.006241367e+01 +4.5717e+00 -4.1464e+00 +1.5296e+00 -4.7097e+00 -1.6373e+00 -3.4197e+00 -4.9267e+00 +3.1053e+00 +3.2404e+00 +3.3971e+00 +4.9065e+00 -4.6399e+00 +1.3555e+00 +3.4313e+00 +3.0051e+00 +6.4598e-01 +2.4984e+00 +2.5836e+00 -3.2274e+00 +4.8070e+00
4 +5.406449051e+01 +5.406449051e+01 -1.127255095e+02 -1.127255095e+02 -4.6290e+00 -1.4970e+00 -3.5642e-01 -4.2716e+00 -3.4766e+00 -3.5662e+00 +1.9600e+00 +3.5373e-01 +4.7095e+00 +1.0345e+00 +4.1598e+00 +7.5792e-01 +4.2630e+00 +1.5184e+00 -3.4565e+00 +1.5512e+00 -2.7966e+00 +4.2387e+00 +2.9521e+00 -4.3255e+00
52 +3.729756766e+01 +3.729756766e+01 -1.294924323e+02 -1.294924323e+02 +2.1948e+00 -4.5697e+00 +3.8493e-01 -2.2372e+00 +4.3459e+00 -2.5333e+00 -2.4773e+00 +1.6820e+00 -1.5215e+00 +1.4809e+00 -3.6520e+00 -1.5514e+00 +2.9105e+00 -1.0846e+00 +3.9932e+00 -1.0183e+00 +3.4498e-02 -2.9104e+00 -4.2977e+00 -4.0629e+00
1195 +1.966715856e+01 +1.966715856e+01 -1.471228414e+02 -1.471228414e+02 +4.0941e+00 -1.3667e-01 -4.5297e+00 +3.0692e+00 -1.1726e+00 +2.6870e+00 +3.0846e+00 -1.3608e+00 -3.4090e+00 -4.5673e+00 -1.3533e+00 -2.1829e+00 +2.6632e+00 +1.0082e+00 +4.0453e+00 +4.6779e+00 -2.6092e+00 +1.3174e+00 +8.0968e-01 +1.9635e+00
23701 +1.428508054e+01 +1.428508054e+01 -1.525049195e+02 -1.525049195e+02 +4.4768e+00 -1.6913e+00 -1.5258e+00 -3.9520e+00 +4.5476e+00 -1.8730e+00 +4.9072e+00 +1.1618e+00 +2.6172e+00 +8.5959e-01 -1.9087e+00 +4.4621e+00 -3.7901e+00 +2.2672e+00 +1.5900e-01 +2.3612e+00 +4.7101e+00 +2.4249e+00 +2.1636e+00 -8.9896e-01
46519 +9.960540003e+00 +9.960540003e+00 -1.568294600e+02 -1.568294600e+02 +1.0224e+00 -1.9751e+00 +3.8497e+00 -2.2443e-01 -4.5064e+00 +3.2985e+00 -3.4405e+00 +3.8632e+00 +2.9144e+00 +3.2965e+00 -3.8129e+00 +5.1578e-01 -2.1706e+00 -1.0642e+00 +3.6358e+00 -4.3139e+00 -6.6431e-01 +4.0541e+00 +8.9004e-01 +2.0802e+00
% function evaluation | noise-free fitness - Fopt (1.000000000000e+03) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.341267602e+01 +8.341267602e+01 +1.083412676e+03 +1.083412676e+03 -1.4769e+00 +1.7052e+00 +2.2712e+00 +3.1077e+00 -8.2552e-01 +4.4964e+00 -3.7292e+00 +9.3501e-01 +4.0117e+00 +4.3650e+00 +7.1456e-01 +2.2978e+00 -3.8834e+00 +2.5443e+00 -1.6888e+00 -1.2877e+00 -3.3406e-01 +1.3746e+00 +1.4403e+00 -6.2730e-02
11 +5.631475045e+01 +5.631475045e+01 +1.056314750e+03 +1.056314750e+03 +2.0988e+00 -1.2835e+00 +3.0938e+00 -2.3358e+00 -1.9947e+00 +2.9733e+00 +4.1387e+00 -7.5857e-01 -2.8079e+00 +2.2503e+00 -2.8242e+00 +1.9415e+00 +1.1468e+00 -3.8837e+00 +4.7004e+00 -1.5588e+00 +4.7914e+00 -4.3362e+00 +2.5159e+00 +7.0707e-01
72 +3.763800129e+01 +3.763800129e+01 +1.037638001e+03 +1.037638001e+03 +3.0242e+00 +2.6896e+00 +3.0480e+00 +3.3749e+00 -1.4324e+00 +4.1592e-01 +1.5063e+00 -4.7831e+00 +2.0548e+00 -3.0409e+00 -3.9192e+00 -1.6488e+00 +3.0557e+00 -1.3314e+00 +3.7488e+00 -2.7312e+00 +1.9952e+00 -4.7483e+00 -1.2919e+00 +4.3471e+00
