% function evaluation | noise-free fitness - Fopt (1.026100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
% function evaluation | noise-free fitness - Fopt (1.667000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.795349656e+02 +7.795349656e+02 +7.962049656e+02 +7.962049656e+02 +1.3537e+00 +2.2387e+00 -4.7663e+00 +1.2548e+00 -2.5314e+00 -1.5274e+00 +8.9400e-01 +3.4093e+00 -1.7273e+00 -5.4069e-01 -2.5001e-01 +1.6710e+00 -3.0276e+00 +1.4391e+00 -4.0853e+00 -4.5183e+00 -6.9709e-02 -1.4686e+00 +3.4125e+00 -3.2818e+00
11 +6.244335251e+02 +6.244335251e+02 +6.411035251e+02 +6.411035251e+02 -3.3207e+00 -1.6631e+00 +2.8461e+00 -3.2766e+00 -4.0831e+00 -3.5798e+00 +8.5769e-01 +3.5664e+00 +2.0130e+00 +4.8059e+00 -7.8349e-01 -1.1912e+00 +4.1465e-01 +4.8503e+00 +4.0633e+00 -7.9656e-01 -1.1465e+00 -2.6920e-01 +2.0603e+00 -3.8315e+00
55 +3.589001352e+02 +3.589001352e+02 +3.755701352e+02 +3.755701352e+02 -3.0627e+00 +1.3133e+00 +1.0796e+00 +2.0511e+00 +3.7380e+00 -3.3034e-01 +1.0265e+00 -1.5388e+00 +2.3931e+00 +1.3255e+00 +1.7838e+00 +1.9317e+00 -2.8134e+00 +8.9638e-01 +3.6509e+00 +1.5114e+00 -2.9688e-01 -1.6249e+00 -1.8524e-01 -1.0562e+00
1442 +2.307986822e+02 +2.307986822e+02 +2.474686822e+02 +2.474686822e+02 -1.7312e+00 +2.4387e+00 +1.6443e+00 +8.4154e-02 -1.0700e+00 -2.4431e+00 +1.2413e-01 -1.4676e+00 +3.2032e-01 +2.7167e+00 +2.5761e+00 +2.5192e+00 -7.2216e-01 +1.0668e+00 +2.0800e+00 +1.7274e+00 -2.0091e-01 +3.5019e-03 +8.3834e-01 -1.2286e+00
5836 +1.562101329e+02 +1.562101329e+02 +1.728801329e+02 +1.728801329e+02 -9.7020e-01 +1.8202e+00 +1.9152e-01 -6.5135e-01 +2.2300e+00 -7.2846e-01 +4.3309e-01 -9.8464e-01 +1.2745e+00 +8.5335e-01 +1.0372e+00 +1.7536e+00 -5.0527e-01 +1.0863e+00 +2.6199e+00 +1.9064e+00 +3.2146e-01 -1.8100e+00 +1.9794e-01 -1.1438e+00
% function evaluation | noise-free fitness - Fopt (-6.277000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.264781323e+02 +6.264781323e+02 +5.637081323e+02 +5.637081323e+02 +3.0344e+00 +5.4545e-01 +2.6929e+00 -2.9327e+00 -4.0301e-01 -4.5981e+00 +1.1988e+00 -6.8161e-01 -8.1184e-01 +2.8583e+00 -3.4098e+00 +1.1286e+00 -1.1797e+00 +7.0598e-01 +1.9735e+00 -2.9187e+00 -1.7523e+00 +3.0628e+00 -4.0288e+00 +4.6454e+00
105 +3.851351229e+02 +3.851351229e+02 +3.223651229e+02 +3.223651229e+02 -9.5687e-01 -1.0745e-01 -1.4918e+00 -8.5568e-01 +2.4561e+00 -1.7310e+00 +8.4459e-01 +1.8838e+00 +0.0000e+00 +1.6451e+00 +2.2957e+00 -5.1022e-01 +1.4214e+00 +9.4662e-03 +2.4099e+00 +1.3266e+00 -2.1028e-01 +1.1043e+00 -2.4128e+00 +3.5064e+00
980 +2.291155122e+02 +2.291155122e+02 +1.663455122e+02 +1.663455122e+02 +4.6382e-01 +6.4769e-01 +9.0392e-01 +3.1201e+00 +3.7511e+00 -2.0782e+00 -1.1934e-01 +1.2616e+00 +1.2732e+00 +3.0362e+00 +1.1714e+00 -2.3428e+00 +4.3991e-01 -1.4444e+00 -5.2862e-01 +2.0004e+00 -1.4602e+00 +1.1649e+00 -1.1390e+00 +6.8775e-01
6345 +1.576889287e+02 +1.576889287e+02 +9.491892874e+01 +9.491892874e+01 +2.8042e-01 +6.0509e-01 +1.2141e+00 +1.1615e+00 +2.6009e+00 -3.0300e-01 -1.5819e+00 +6.5268e-01 +1.0383e+00 +1.4017e+00 +7.3236e-01 -1.0602e+00 -5.9644e-01 -2.1079e+00 -1.5323e+00 +2.2280e+00 -6.4698e-01 +1.3136e+00 -1.0541e+00 +2.0141e+00
% function evaluation | noise-free fitness - Fopt (1.096000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.062066537e+02 +6.062066537e+02 +6.171666537e+02 +6.171666537e+02 -4.5308e-01 -4.9685e+00 -5.2366e-01 -3.8645e+00 -2.2794e+00 -1.6506e+00 -1.7430e+00 -1.3154e+00 -1.4681e+00 +2.4847e+00 -2.4115e+00 +2.4210e-01 +7.8738e-01 -2.0974e-01 +1.6972e+00 -3.6714e+00 -2.4065e+00 +2.7872e+00 -6.9540e-02 +4.2383e+00
