% function evaluation | noise-free fitness - Fopt (-5.494000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
212 +1.950465957e+06 +1.950465957e+06 +1.949996207e+06 +1.949996207e+06 +3.1826e+00 -5.6239e+00 -5.2840e-02 -4.7936e-01 +7.5922e-01 +4.8325e+00 -4.9328e+00 +7.1223e-01 -4.6749e+00 +5.6153e+00 -5.4808e+00 -6.4329e+00 +3.1953e-01 -1.4174e+00 +4.6964e+00 +5.6407e-01 -4.4798e+00 -1.0843e-01 +3.5339e+00 -9.9298e-01
226 +9.805092408e+05 +9.805092408e+05 +9.800394908e+05 +9.800394908e+05 +1.9011e+00 -3.3523e+00 +1.9685e-01 -2.1458e+00 -8.2427e-01 +2.4718e+00 -1.2884e+00 -1.7311e-02 -4.4871e+00 +4.8429e+00 -3.3095e+00 -1.1718e+00 +3.4710e+00 -6.6616e+00 +3.6975e-01 -1.3064e+00 -3.1061e+00 +1.7323e+00 +7.0623e+00 +1.0565e+00
604 +6.116395141e+05 +6.116395141e+05 +6.111697641e+05 +6.111697641e+05 -3.2137e+00 -3.8360e+00 +4.5816e+00 +1.8896e+00 -1.3948e+00 +4.7572e+00 -6.0129e+00 +6.6940e+00 -3.6434e-01 +1.1468e+01 +1.9893e+00 -4.0587e-01 -2.1015e+00 -3.1208e+00 +3.2852e+00 -5.3114e+00 -1.6147e+00 +6.9440e+00 +8.3178e+00 +7.9491e+00
1102 +2.884461785e+05 +2.884461785e+05 +2.879764285e+05 +2.879764285e+05 -2.4666e+00 -5.4031e+00 +4.7550e+00 +1.2608e+00 -2.0449e-01 +4.4162e+00 -6.0694e+00 +6.1201e+00 +2.5843e-01 +7.1406e+00 -6.1669e-01 -1.6069e+00 +5.3547e-01 +9.4179e-01 +4.5089e+00 -3.4092e+00 -2.1288e+00 +3.7865e+00 +4.3449e+00 +4.9648e+00
1303 +2.055266179e+05 +2.055266179e+05 +2.050568679e+05 +2.050568679e+05 -5.2950e+00 -3.2651e+00 +4.9595e+00 +1.6061e-01 -3.0137e+00 +4.1463e-01 -4.9162e-01 +5.4665e+00 +5.7676e-02 -3.7965e-02 -3.2523e+00 +5.5229e+00 +3.9388e+00 -1.7097e+00 +8.1638e-01 -1.7879e+00 -5.4839e-01 +1.0220e+00 +7.3577e-01 +1.9585e+00
2228 +1.480922038e+05 +1.480922038e+05 +1.476224538e+05 +1.476224538e+05 -1.8559e-01 -1.5809e+00 +3.7463e+00 -3.0233e+00 -2.1627e+00 +2.0119e+00 -3.8824e+00 +3.3000e+00 +1.0813e+00 +3.3301e+00 -4.7514e+00 +2.4256e+00 +9.7300e-01 -4.9718e+00 +2.6583e+00 +8.8833e-01 -2.6577e-01 -2.3947e+00 -2.6933e-01 +1.5541e-01
2933 +8.847772014e+04 +8.847772014e+04 +8.800797014e+04 +8.800797014e+04 -1.0751e+00 +2.2595e-01 +3.9829e+00 -2.6899e+00 -1.3048e+00 +4.3445e+00 -3.5063e+00 +2.7207e+00 +1.6712e+00 +5.9209e+00 -3.0095e+00 +2.5657e+00 -1.2505e+00 -5.3500e+00 +4.5014e+00 +9.9551e-01 +2.9999e+00 -1.8623e-01 +5.0277e-01 -3.8070e-01
3602 +6.193946728e+04 +6.193946728e+04 +6.146971728e+04 +6.146971728e+04 -1.9009e+00 -1.8623e+00 +2.1912e+00 -3.4388e+00 -1.3559e+00 +2.9898e+00 -5.4460e+00 +4.4336e+00 +1.2680e+00 +5.2317e+00 -5.3543e+00 +2.0478e+00 +7.1146e-02 -7.9839e+00 +3.5536e+00 +6.6116e-01 +2.7582e+00 -1.4506e+00 +2.2602e-01 +2.5275e-01
4510 +3.896671113e+04 +3.896671113e+04 +3.849696113e+04 +3.849696113e+04 +2.5487e+00 -4.3095e+00 +2.8580e-01 -6.1463e+00 +6.3509e-01 +1.2168e+00 -7.0160e+00 +3.2974e-01 +2.0627e+00 +5.3578e+00 -7.7728e+00 -4.8414e+00 +3.6664e+00 -5.6406e+00 +4.4312e+00 +6.1661e-01 -3.4474e-01 +6.3621e-01 +3.9802e+00 +7.6560e-02
% function evaluation | noise-free fitness - Fopt (-1.280000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
