% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
25 +7.845125789e+01 +7.845125789e+01 +3.516012579e+02 +3.516012579e+02 -4.7822e+00 -1.1033e+00 +3.0009e+00 -4.9853e+00 +1.3673e+00 -4.1230e+00 -2.9972e+00 -4.6140e+00 -1.0339e+00 +3.9701e+00 +1.9660e+00 -3.1927e+00 +2.4957e+00 -3.2394e+00 +1.5409e+00 +1.1179e+00 +3.3814e+00 +3.9630e+00 -3.3845e+00 +2.9371e+00
1212 +5.222778735e+01 +5.222778735e+01 +3.253777874e+02 +3.253777874e+02 -4.0691e+00 -5.3232e-01 +5.6731e-01 -2.2219e+00 +1.4838e+00 -6.1129e-02 -9.7577e-01 -1.5101e+00 -2.0003e+00 +2.4191e+00 +2.8232e+00 -8.6515e-01 +1.7147e+00 -1.7216e+00 +8.1669e-01 -3.0223e+00 +1.9202e+00 +2.6464e+00 +4.4223e-01 -1.9655e+00
1980 +3.602324548e+01 +3.602324548e+01 +3.091732455e+02 +3.091732455e+02 -3.3455e+00 +2.5513e+00 +1.0164e+00 -1.7172e+00 +3.2833e+00 -1.5131e+00 -1.1235e+00 -2.7256e+00 -2.5144e+00 +3.7260e+00 +3.9408e-01 +1.0375e+00 +8.4302e-02 +2.5040e-01 -5.1377e-03 -1.9349e+00 +3.5255e+00 +1.8517e+00 +5.1878e+00 -1.0786e+00
2606 +2.104043681e+01 +2.104043681e+01 +2.941904368e+02 +2.941904368e+02 -4.3759e+00 +5.3968e+00 -8.7325e-01 +2.6847e+00 +1.5433e+00 -1.2979e+00 -2.1625e+00 -1.4933e+00 -1.4485e+00 +2.4650e+00 +1.0520e+00 +1.3741e+00 +1.8681e+00 +3.3480e+00 +1.3769e+00 -2.5994e+00 +4.8411e+00 +1.8864e+00 +3.3001e+00 +3.6452e-01
5080 +1.517562738e+01 +1.517562738e+01 +2.883256274e+02 +2.883256274e+02 -3.5701e+00 +2.7501e+00 -1.9317e+00 +2.1571e+00 +1.2621e+00 -1.1248e+00 -1.5942e+00 -1.7504e+00 -3.1455e+00 +1.9147e+00 +2.5521e+00 -7.5383e-01 +1.1426e-01 +4.4086e+00 +3.9912e+00 -3.4616e+00 +4.7244e+00 +1.4218e+00 +6.7876e-01 -1.9972e+00
9035 +9.621954866e+00 +9.621954866e+00 +2.827719549e+02 +2.827719549e+02 -4.1118e+00 +3.6999e+00 -1.5678e+00 +1.4835e+00 +2.8471e+00 -4.3262e+00 -2.2469e+00 -9.6941e-01 -3.7884e+00 +1.8493e+00 -1.8887e+00 -3.0033e-01 -4.5574e-01 +1.3641e+00 +2.8414e+00 -2.1550e+00 +4.5588e+00 +1.8598e+00 +4.7241e+00 -3.7048e+00
10706 +6.235933316e+00 +6.235933316e+00 +2.793859333e+02 +2.793859333e+02 -2.8173e+00 +3.8899e+00 -1.4647e+00 +1.7084e+00 +2.4689e+00 -3.4993e+00 -5.6048e-01 -1.9147e+00 -1.6561e+00 +3.1752e+00 -9.5442e-01 +6.2676e-01 -2.6022e-01 +1.5966e+00 +2.4000e+00 -2.8882e+00 +3.3852e+00 +4.3912e-01 +3.3800e+00 -3.8514e+00
15540 +3.257752096e+00 +3.257752096e+00 +2.764077521e+02 +2.764077521e+02 -3.4008e+00 +3.7729e+00 -8.6316e-01 +1.9872e+00 +2.2122e+00 -3.0568e+00 -1.4460e+00 -9.3754e-01 -1.3537e+00 +3.0245e+00 -1.5732e+00 +8.3622e-01 -8.0332e-01 +1.0495e+00 +3.1601e+00 -3.3314e+00 +3.0484e+00 +5.7553e-01 +3.3386e+00 -3.3289e+00
22832 +2.098335117e+00 +2.098335117e+00 +2.752483351e+02 +2.752483351e+02 -2.7973e+00 +3.5847e+00 -1.0814e+00 +2.7680e+00 +2.0403e+00 -3.6398e+00 -7.7196e-01 -1.2693e+00 -1.3527e+00 +3.4084e+00 -1.4213e+00 +1.4156e+00 -1.0377e-01 +1.4187e+00 +3.6290e+00 -3.4145e+00 +3.4305e+00 +9.5274e-01 +3.3074e+00 -3.5441e+00
28677 +1.405017206e+00 +1.405017206e+00 +2.745550172e+02 +2.745550172e+02 -3.5388e+00 +3.4697e+00 -1.1484e+00 +2.3191e+00 +2.3836e+00 -3.3648e+00 -1.0956e+00 -8.4735e-01 -1.2741e+00 +3.2507e+00 -1.7286e+00 +9.3620e-01 -4.7285e-01 +1.2577e+00 +3.2909e+00 -3.6842e+00 +3.4611e+00 +9.7138e-01 +3.5352e+00 -3.0743e+00
