% function evaluation | noise-free fitness - Fopt (-5.465000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.298492556e+05 +1.298492556e+05 +1.298429556e+05 +1.298429556e+05 -4.6413e-01 +2.4803e+00 -1.7802e+00 -3.0109e+00 -7.8295e-01 +2.6996e+00 +2.3461e+00 -1.9398e+00 +2.8877e+00 +3.8542e-01 -2.5052e+00 -1.5091e-01 -1.5005e-01 -5.5683e-02 -4.2771e+00 +7.7548e-01 +4.8312e+00 +6.3275e-01 -4.6559e+00 -3.6967e-01
10 +7.960320035e+04 +7.960320035e+04 +7.959690035e+04 +7.959690035e+04 -2.7778e+00 -9.9936e-01 +1.5944e+00 +1.5083e+00 -9.6288e-01 +3.3991e+00 -1.3503e-01 +4.3556e+00 +2.2586e+00 +1.2577e-01 +2.6557e+00 -4.5455e-01 +8.8227e-01 -8.9208e-01 -4.5386e+00 +3.7659e-01 -4.5656e+00 +1.7402e+00 -4.1160e+00 -3.5224e+00
86 +4.479536089e+04 +4.479536089e+04 +4.478906089e+04 +4.478906089e+04 +4.7752e+00 -3.4423e+00 -1.3910e+00 -1.6403e+00 -2.5320e-01 -2.8892e+00 -4.9513e-01 +1.3976e+00 +2.6995e+00 +1.2331e+00 +2.8430e-01 +2.4737e+00 -4.4646e-01 +1.3297e+00 +3.0532e-01 -2.3193e+00 -2.7358e+00 +1.4171e+00 -2.0952e-01 -1.1999e+00
99 +3.062015813e+04 +3.062015813e+04 +3.061385813e+04 +3.061385813e+04 -6.6168e-01 -3.9297e+00 -1.4044e+00 -4.0717e+00 -3.4169e+00 +7.7384e-01 -1.8837e+00 +5.1989e-01 -2.3018e+00 +3.5110e+00 -2.9662e+00 -5.7031e-01 -3.5160e+00 +2.6054e+00 +3.6849e-02 +9.1790e-01 -2.6052e+00 +7.1615e-01 -4.8283e+00 -1.8761e+00
805 +1.889960465e+04 +1.889960465e+04 +1.889330465e+04 +1.889330465e+04 +6.8641e-01 -5.0192e-01 -1.5525e+00 -2.6747e+00 -3.0001e+00 -7.7982e-01 +9.8633e-01 -5.8015e-01 +2.3579e+00 +2.2552e+00 -1.8030e-01 -8.5613e-01 -4.2007e+00 -1.5347e+00 -2.6917e-02 -9.9123e-01 -1.6721e+00 -1.9010e+00 -3.0842e+00 -1.4823e+00
1008 +1.053456055e+04 +1.053456055e+04 +1.052826055e+04 +1.052826055e+04 +6.8989e-02 +1.9789e-01 +2.3273e+00 +4.1473e+00 -1.7126e+00 +2.7382e+00 +4.6191e-02 +2.1157e-01 +4.1531e+00 -9.1330e-02 -9.8856e-03 +3.3605e+00 -1.8190e+00 +1.8708e+00 -1.2032e+00 +7.9128e-01 +2.3610e-01 -4.5469e-01 -1.0725e-01 -1.8978e+00
1140 +8.950711602e+03 +8.950711602e+03 +8.944411602e+03 +8.944411602e+03 +2.1459e-02 -1.7096e+00 -1.3453e+00 +1.5438e+00 +2.4434e+00 -3.4897e-01 +3.9688e+00 -1.0469e+00 +1.6632e+00 -1.2229e+00 -7.9840e-01 +2.9755e+00 -1.3853e-01 +1.2697e+00 -2.3318e+00 +1.6794e+00 +4.6518e-01 -4.9810e-01 -1.1575e+00 -3.2830e+00
1408 +6.169002163e+03 +6.169002163e+03 +6.162702163e+03 +6.162702163e+03 +2.0364e+00 -3.9342e-01 -1.3293e+00 +2.0900e-01 -7.0408e-01 -4.2070e+00 -2.1439e+00 -4.7950e-01 +4.5337e-02 +3.1603e+00 +3.2922e-01 -3.2415e-01 +4.6750e-01 +1.3637e-01 -1.4347e+00 +1.0227e+00 -2.6384e+00 -1.4699e+00 -2.9730e+00 -2.2785e+00
2202 +1.620928184e+03 +1.620928184e+03 +1.614628184e+03 +1.614628184e+03 -1.0425e+00 -1.2794e+00 -1.0228e-01 +1.7427e+00 -1.9495e+00 -1.3798e+00 +1.8759e+00 +1.4694e+00 +2.7470e+00 -1.2590e+00 -1.1719e+00 +1.3403e+00 -1.4161e+00 +1.7899e+00 -2.1259e-01 +4.4670e-01 -1.4497e+00 -8.2387e-01 -1.7759e+00 -2.7398e+00
2209 +1.509931319e+03 +1.509931319e+03 +1.503631319e+03 +1.503631319e+03 -2.0815e+00 +4.7531e-01 -3.9745e+00 -1.3781e+00 -1.1325e+00 -2.6902e+00 +2.3388e+00 +1.6135e+00 +1.1088e+00 +8.0657e-01 -3.7334e-01 +2.3284e+00 +4.0358e-01 +2.9585e+00 -2.0362e+00 +5.3279e-01 -2.7502e+00 +1.3424e-01 -1.7853e+00 -1.6041e+00
