% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
8752 +9.070644532e+00 +9.070644532e+00 -1.388293555e+02 -1.388293555e+02 +1.5627e+00 -6.6301e-01 +2.1351e-01 -2.2221e+00 -4.9130e+00 +1.2657e+00 -2.4875e+00 -1.8395e-01 -2.7089e+00 -6.5914e-02 +2.6198e-01 +4.3136e+00 +2.6554e+00 -3.8003e+00 -2.7648e-02 -1.2028e+00 -6.8938e-01 -4.3871e-01 -1.6334e+00 +4.0696e+00
10600 +6.266731676e+00 +6.266731676e+00 -1.416332683e+02 -1.416332683e+02 +1.5064e+00 -8.7022e-01 -1.0520e-01 -2.2642e+00 -4.9182e+00 +1.4361e+00 -2.6226e+00 -2.6474e-01 -2.7132e+00 -6.2094e-02 +5.3908e-01 +4.4319e+00 +2.6029e+00 -3.5868e+00 -8.2580e-02 -9.6483e-01 -6.7562e-01 -6.5560e-01 -1.5889e+00 +3.5324e+00
% function evaluation | noise-free fitness - Fopt (-2.218900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.872410927e+02 +1.872410927e+02 -3.464890725e+01 -3.464890725e+01 +1.5293e+00 -4.5975e+00 +2.2799e+00 +7.9915e-01 +3.7991e+00 -2.9064e+00 -7.7251e-01 -1.2158e+00 -4.7623e+00 +4.2841e+00 -1.2668e+00 -4.1711e+00 +6.3449e-01 -1.0230e+00 -4.7678e+00 +4.1011e+00 +2.3311e+00 +2.7033e+00 -2.8940e+00 +4.9631e+00
2 +1.012450701e+02 +1.012450701e+02 -1.206449299e+02 -1.206449299e+02 +1.2092e+00 -1.8573e+00 -4.8966e+00 +4.7602e+00 -1.0330e+00 -4.2610e+00 +1.4127e+00 -3.8354e-01 +2.2926e+00 +4.6172e+00 +6.7554e-01 -2.4745e+00 -2.3260e+00 +2.3933e+00 +6.8663e-01 -1.8178e+00 +2.4683e+00 -4.6860e+00 -6.8523e-01 +4.1827e+00
6 +6.533845558e+01 +6.533845558e+01 -1.565515444e+02 -1.565515444e+02 +4.5039e-01 -3.9446e+00 -4.8742e+00 -4.4437e+00 -2.8396e+00 +4.8718e-01 +1.2040e+00 +1.0020e+00 +1.7071e+00 -4.4931e+00 +2.0112e+00 +6.9919e-01 -2.1964e+00 -8.1509e-01 +4.1184e-01 -4.2103e+00 -1.8890e+00 +4.4712e+00 +2.2177e+00 +1.2706e+00
42 +5.207285906e+01 +5.207285906e+01 -1.698171409e+02 -1.698171409e+02 -3.7908e+00 -9.8989e-01 -2.9630e+00 +3.1904e-01 -3.2550e+00 +7.3899e-01 +3.1798e+00 +4.6165e+00 +1.0087e+00 -3.8283e-01 -7.6941e-01 -5.0000e+00 -2.3003e+00 +7.8925e-01 -1.5162e+00 -2.9817e+00 +1.1530e+00 -3.5034e+00 +3.1510e+00 +8.7987e-02
179 +3.721066207e+01 +3.721066207e+01 -1.846793379e+02 -1.846793379e+02 -2.0468e+00 +2.3641e+00 -3.2117e-01 -9.6622e-01 -7.4934e-01 +2.1686e+00 +2.9457e+00 +1.7097e+00 -5.0000e+00 +1.2841e-01 +2.1223e+00 +2.3473e-01 -2.7058e+00 +1.4839e+00 -2.9262e+00 -5.0000e+00 -1.6908e+00 -2.3167e+00 +4.4224e+00 -2.1540e+00
599 +2.040345806e+01 +2.040345806e+01 -2.014865419e+02 -2.014865419e+02 -3.4297e+00 +1.0191e-02 +3.9167e-01 +1.2050e+00 -9.3122e-01 +3.0259e+00 +1.8000e+00 +7.2648e-01 -2.8341e+00 -1.7014e+00 +1.1261e+00 -2.2640e+00 -2.2517e+00 +3.1111e+00 -7.8742e-01 -5.0000e+00 -2.7361e+00 -5.0000e+00 -1.8530e+00 -9.8389e-01
1861 +1.428636627e+01 +1.428636627e+01 -2.076036337e+02 -2.076036337e+02 -3.4909e+00 -6.1826e-01 +9.9835e-01 +6.7425e-01 -1.4571e+00 +3.6837e+00 +1.4451e+00 +2.5053e+00 -1.2266e+00 -1.6546e+00 +1.3192e+00 -4.6710e+00 -1.3225e+00 +1.5893e+00 -2.4183e-03 -4.1502e+00 -1.1139e+00 -5.0000e+00 -2.2180e+00 -1.9847e+00
